userName,score,at,Ulasan,Sentimen
Rolandes Tri Putra Simanjuntak,5,2023-09-25 10:58:54,Bagus bisa liat oshi,1
Nafisah Nuraini,2,2023-09-25 10:22:24,"Kenapa gk bisa login padahal udh sesuai petunjuk, password nya bnr tpi mlh salah sih gmn 👽",-1
Zinedine,1,2023-09-25 7:16:03,"Jaringan lancar bisa buat streaming YT, eh masuk apk ini malah jaringan error, gajelas",-1
Jason Frans,5,2023-09-24 14:38:57,"Apknya bagus,bisa liat cwe"" cantik",1
kaisar romawi tenggara,5,2023-09-23 13:37:55,saya suka sr apalagi michie nya pas lagi sr,1
Mahira Septi,5,2023-09-21 13:55:30,"Bagus, saya jadi bisa nonton pacar saya🥰",1
Ikhfi Danuri,5,2023-09-21 8:52:56,Seru bgt bisa nonton oshi lagi sr😆,1
Fakhri Djuanda,4,2023-09-19 18:00:54,"Mantap sih, tapi kadang notif nya telat 😔",1
Majid Abdul,4,2023-09-19 14:58:19,"kenapa setiap aku mau masuk sr selalu gak muncul gambar/video aidol/member JKT48 nya, malah disuruh rilod kembali sama apk nya tapi pas udah rilod kembali masih ajah tetap gak muncul gambar/vide aidol nya, padah sinyal internet di tempat saya bagus saya tapi kenapa selalu disuruh rilod kembali, mohon di perbaiki kembali ya apk nya.",-1
Bambang Saputra Syam,1,2023-09-19 14:58:06,Aplikasinya erorr gua kasih bintang satu🙂,-1
Ricky Ade Bima.,1,2023-09-19 14:44:03,"Gbs di pake bang, ini ngapa sr gua cuma layar nya item udh gua uninstall ttp gbs",-1
Yadi Permana,1,2023-09-19 14:42:55,Benerin dong min supaya ga eror pake wifi ah elah,-1
pande agung,1,2023-09-19 14:35:10,Nonton idol siapun showroomnya selalu loading,-1
ALFIA ZAFA,5,2023-09-19 14:11:31,Gw tebak yg download ini cmn buat nonton sr oshi ny,0
Ashar Romadhon,5,2023-09-19 10:50:33,sebuah aplikasi yang bisa mengenal idolnya lebih dekat dengan para fansnya,1
rafly alazhar,4,2023-09-18 10:00:35,"gatauuu mau ngomong apa, yang pasti baguslah aplikasinya hehe",1
Habibi New,4,2023-09-18 7:59:04,Kenapa akun saya hilang ini gimana padahal udh di top up in,-1
Arma Satria Gufta,1,2023-09-17 22:53:02,Kembalikan lagi sih bintang gratisnya,-1
Dava Arzl,5,2023-09-17 15:26:07,udah sangat bagus sih bisa gak sih itu notif sama tulisan dalam aplikasi nya di ganti jadi bahasa indonesia aja terus notif nya di tampilkan di atas,1
zhafa Munandar,5,2023-09-17 15:04:22,Aplikasi nya bagus cuman kurang bahasa Indonesia 🙏,1
Aimar Goim,1,2023-09-17 14:57:27,Udah ada akun dan kata sandi udah bener tapi gak tau kenapa ditulis salah SHOWROOM SEKARANG GJ @&$_$+(,-1
Gabriel Piero,5,2023-09-17 14:44:51,Aplikasi nya bagus dan berfungsi dengan baik,1
Orang Aneh,5,2023-09-17 12:44:43,Apknya bagus kurangnya cuma 1 pas buka srnya michie chatan gw gk dibalas🗿,1
Rosi Awan,5,2023-09-17 12:13:04,Seru bgt krna bisa nonton live member jeketi,1
