userName,score,at,content
Rolandes Tri Putra Simanjuntak,5,2023-09-25 10:58:54,Bagus bisa liat oshi
Nafisah Nuraini,2,2023-09-25 10:22:24,"Kenapa gk bisa login padahal udh sesuai petunjuk, password nya bnr tpi mlh salah sih gmn 👽"
Zinedine,1,2023-09-25 07:16:03,"Jaringan lancar bisa buat streaming YT, eh masuk apk ini malah jaringan error, gajelas"
Jason Frans,5,2023-09-24 14:38:57,"Apknya bagus,bisa liat cwe"" cantik"
kaisar romawi tenggara,5,2023-09-23 13:37:55,saya suka sr apalagi michie nya pas lagi sr
Mahira Septi,5,2023-09-21 13:55:30,"Bagus, saya jadi bisa nonton pacar saya🥰"
Ikhfi Danuri,5,2023-09-21 08:52:56,Seru bgt bisa nonton oshi lagi sr😆
Fakhri Djuanda,4,2023-09-19 18:00:54,"Mantap sih, tapi kadang notif nya telat 😔"
Majid Abdul,4,2023-09-19 14:58:19,"kenapa setiap aku mau masuk sr selalu gak muncul gambar/video aidol/member JKT48 nya, malah disuruh rilod kembali sama apk nya tapi pas udah rilod kembali masih ajah tetap gak muncul gambar/vide aidol nya, padah sinyal internet di tempat saya bagus saya tapi kenapa selalu disuruh rilod kembali, mohon di perbaiki kembali ya apk nya."
Bambang Saputra Syam,1,2023-09-19 14:58:06,Aplikasinya erorr gua kasih bintang satu🙂
Ricky Ade Bima.,1,2023-09-19 14:44:03,"Gbs di pake bang, ini ngapa sr gua cuma layar nya item udh gua uninstall ttp gbs"
Yadi Permana,1,2023-09-19 14:42:55,Benerin dong min supaya ga eror pake wifi ah elah
pande agung,1,2023-09-19 14:35:10,Nonton idol siapun showroomnya selalu loading
ALFIA ZAFA,5,2023-09-19 14:11:31,Gw tebak yg download ini cmn buat nonton sr oshi ny
Ashar Romadhon,5,2023-09-19 10:50:33,sebuah aplikasi yang bisa mengenal idolnya lebih dekat dengan para fansnya
rafly alazhar,4,2023-09-18 10:00:35,"gatauuu mau ngomong apa, yang pasti baguslah aplikasinya hehe"
Habibi New,4,2023-09-18 07:59:04,Kenapa akun saya hilang ini gimana padahal udh di top up in
Arma Satria Gufta,1,2023-09-17 22:53:02,Kembalikan lagi sih bintang gratisnya
Dava Arzl,5,2023-09-17 15:26:07,udah sangat bagus sih bisa gak sih itu notif sama tulisan dalam aplikasi nya di ganti jadi bahasa indonesia aja terus notif nya di tampilkan di atas
zhafa Munandar,5,2023-09-17 15:04:22,Aplikasi nya bagus cuman kurang bahasa Indonesia 🙏
Aimar Goim,1,2023-09-17 14:57:27,Udah ada akun dan kata sandi udah bener tapi gak tau kenapa ditulis salah SHOWROOM SEKARANG GJ @&$_$+(
Gabriel Piero,5,2023-09-17 14:44:51,Aplikasi nya bagus dan berfungsi dengan baik
Orang Aneh,5,2023-09-17 12:44:43,Apknya bagus kurangnya cuma 1 pas buka srnya michie chatan gw gk dibalas🗿
Rosi Awan,5,2023-09-17 12:13:04,Seru bgt krna bisa nonton live member jeketi
Rasya Bintang,5,2023-09-17 11:03:11,Sambil nunggu si nurdana sr kita kasih lima bintang
arif fatur ramadhan,5,2023-09-17 10:30:58,Kok gua gabisa update ya tidak dapat menginstal
Dandy Permana,5,2023-09-17 10:08:13,bagus aja buat nonton ayang😁
Aisyah Putri,5,2023-09-17 10:05:12,Aplikasi nya bagus untuk nonton sr
Farid Syahputra18,1,2023-09-17 09:12:09,Saya udah update malah update lagi
Aswar Aswar,5,2023-09-15 15:08:26,Sangat memuaskan
Galang Ramadhan,5,2023-09-15 14:54:42,Keren banget apk nya
Siti Nurjanah,5,2023-09-15 13:54:01,Aplikasinya menarik dan sangat bagus saya suka🥰👌
rakha Al Buchori,5,2023-09-14 12:40:32,Buatkan global version seperti pembayaran memakai uang dari masing2 negara dan bahasa didalam aplikasi juga dari masing2 negara jadi tidak kebingungan dengan bahasa jepang
Lilik Kumrotin,1,2023-09-14 12:38:14,"Asyuh cok i, minta perbarui giliran di perbarui gak bisa di buka."
Rendi Roy Risyando,5,2023-09-14 12:32:24,setelah update nambah gacorr
Arga Arian7,5,2023-09-14 08:49:13,Bagus tapi kalo bisa lebih cepet lagi ngirim notif yang live suka gak ada notif
Destian Zaky padilah,4,2023-09-14 02:02:46,Bintang gratis nya jangan diilangin lahh
Siti nurul inka Yati,3,2023-09-13 15:20:43,"Awalnya baik""sajah ko inih usah di buka"
Rizky Aditya,5,2023-09-13 14:09:03,Bagus min Tapi usahain live nya grafik lumayan hd
MISBAH HUL MUNIR,5,2023-09-13 06:07:18,"Aku gk tau mau bilangnya gimana dan mulai darimana, pokoknya ini aplikasi sangat-sangat terbaik. Mungkin gara-gara bisa nonton Gita :v. Thank you very much"
Indah 0407,1,2023-09-11 15:16:43,Tidak bsa di update/dowload lagi...
Rafly Muhammad,5,2023-09-11 15:07:21,Ga ada minus ada sih cuma satu kalo pake wfi gabisa hrs pke dta
Zamm Za,5,2023-09-11 15:04:45,"gara"" apk ini gw tiap hari liat bidadari jkt"
Makhluk 2K86,1,2023-09-11 15:04:34,Bintang 1 karna oshi gw jarang sr:(
Mad Zhaa,5,2023-09-11 15:03:02,"Aku sangat suka sama ini aplikasi, bisa buat nonton sr oshi klen Jan lupa download ya"
Jonathan Putra Prakosa (Joput),1,2023-09-11 14:42:12,"Tolong diubah kembali fitur lama, ini sangat kapitalis."
Muhammad Raihan,3,2023-09-11 14:27:50,tidak muncul notifikasinya kalo ada member showroom dll
David 28,1,2023-09-11 14:24:34,aplikasi sampah masa gak bisa pakai wifi
Pajira Lubis,5,2023-09-11 14:19:03,Mantab bos quu apk nya😁
Okta Shyalendra Putra,4,2023-09-11 14:10:24,Bagus bisa liat freya saat live
Akun Game,5,2023-09-11 10:58:02,Aku jadii bisa liat oshi aku yee
Fino Badi'lah Ramadhan,3,2023-09-11 08:00:30,Ga bisa login padahal udah pake semua cara Mohon di perbaiki
Rifky Bayu Prayoga,2,2023-09-11 02:55:24,"Dulu bisa login,sekarang mau login gabisa,gimana si ni apk,pake facebook gabisa pake twitter juga gabisa,hadeh"
Mhd Reza Saputra,1,2023-09-10 22:22:25,Knp ga bisa login fb ni Giman login Twitter jg gak bisa aneh
Sanjaya Aja,5,2023-09-10 14:52:30,"Sangat membantu min makasih, untuk menemani live member JKT48"
Defri Malik1,1,2023-09-10 13:42:45,Kagak bsa login
Rido Riandi,1,2023-09-10 10:55:17,Gadak bagusnya malah bahasa China semua
Ilham Kurrniawannn,4,2023-09-09 13:12:50,Kenapa saya tidak bisa log in menggunakan facebook / X. Tolong kasih saran atau beritahu saya cara nya
EfrocyRdl,1,2023-09-09 12:08:43,Masa ga bisa masuk akun fb
Aidil Fitriana,1,2023-09-09 11:58:10,Cara login nya gimana sih aku coba gak bisa login tolong jelas kan
Romadhon Romadhon,1,2023-09-09 08:11:40,Gak bisa masuk error mulu gak bisa log in gk jelas
Khawenks Stones,5,2023-09-08 12:33:08,Apk nya bagus untuk para wota wota jkt48...... Tapi mohon yang pake kartu Tri di bisain cara mengechat para member jkt48
dev tirz,2,2023-09-07 07:54:41,tolong untuk developer di fix untuk login Facebook always gagal terus
Muhammad Rasyid,5,2023-09-05 12:01:33,Tolong aku ngk ngerti cara nya masukin sandi nya
Ripz Tijiii,3,2023-09-04 00:27:47,"Min, cuma ngasih saran aja, apk nya tolong dikasih vitur kick penonton/saran lain , soalnya kasian kalo member lagi sr, penontonnya malah nanyain member lain"
Devdan Widiasmara,5,2023-09-02 06:32:50,aku suka nonton oshi ku di apk ini😁😁
19_Khesya Zara Aprilia,2,2023-09-02 00:44:38,Ga bisa login padahal udah dicoba berulang-ulang
Ar Fn,5,2023-08-30 03:37:55,biasanya waktu membuka aplikasi showroom bisa menggunakan wifi. tapi sekarang aplikasi showroom tidak bisa dibuka menggunakan wifi. saya harus menggunakan data seluler untuk membuka showroom
Rivall.,2,2023-08-27 12:42:15,"Gabisa login sama sign up padahal udah ada instruksi lanjutkan pas dibuka di fb tapi pas di showroom nya belum kedaftar akunnya mohon diperbaiki lagi apk nya karena kasus ini bukan yang pertama kali tapi sudah berkali kali,ini masalahnya gabisa login dan sign up padahal di fb sudah tertaut akunnya tapi di showroom gaada akunnya"
Adelova Agustine,5,2023-08-25 01:11:53,Berkat aplikasi ini gwh bisa liat oshi gw 😁
Muhammad Maulana Rizqi,5,2023-08-22 13:38:01,Sedang menunggu fitur full screen
Shaqilla Putri,5,2023-08-21 15:29:48,Saran saya mending kalo bisa di munculin lah notif nya soalnya saya ke tinggalan trus sr oshi ku
FeroGans Gans,5,2023-08-21 10:46:44,Showroom lah yg menemani Dan membuat Hidup lebih berwarna
Fauzil Azim,5,2023-08-20 08:56:34,Lumayan walaupun GK bisa komen
Buambang Buambang,1,2023-08-20 04:04:44,Bintang satu aja sudah untung apk taik kayak yg bikin ga bisa di kuka ga niat bikin apk yang bikin sini ku patahkan lehernya ga niat bikin apk ga bisa di buka masa Nick name 20/30
Muhammad Opick,3,2023-08-17 14:59:53,"Saya kasih bintang tiga dulu,karena gak bisa di gedein layar nya,tolong lah bikin bisa di gedein supaya lebih seru nonton nya"
Farel Usman,5,2023-08-17 07:08:21,Keren semua Minusnya cuma satu ga bisa di besarin layarnya saat menonton live atau bisa di bilang fokus ke layar dan karakter nya ga ngalangin 👌👌
Ahmad Firza Nurrahman,3,2023-08-15 21:55:38,ga pernah ada muncul notifnya padahal udah disetting...
Raymond Fernando Pangkal Pinang,5,2023-08-14 14:42:29,"Aplikasinya bagus banget masih aman tanpa kendala sejauh ini 😄, walaupun begitu terus tingkatkan lagi ya min"
Aditya Adit,4,2023-08-12 10:28:03,"Bagus, tapi lebih bagus lagi kalau ada fitur bahasa Indonesia"
Reza,1,2023-08-10 08:19:27,tolong dong diperbaiki apk nya karena tidak bisa login sama sekali
Odi Nuryahya,1,2023-08-09 12:23:20,Gimana si wifi lancar masuk showroom malah your internet connection and try again
M Andi,2,2023-08-09 03:03:06,Gue cuma mau bilang kalo ada yg sr kok gak ada ya notif yg masuk padahal aku udah follow membernya gimana itu tolong di perbaikin dong notifikasinya itu aja
Raden ziga,5,2023-08-06 19:05:33,Gua donlot ini karena cuma mau lihat dek Freya JKT48
Whyy N,1,2023-08-06 15:49:14,Verifikasi g ad masuk² kntl
SAMUEL RIVALDO PANJAITAN,5,2023-08-05 16:40:22,Apk nya bagus² aja nggak ada bug atau lag kalo di akuu
Billsky,3,2023-08-05 10:46:04,"Sebenernya aplikasi ini udah bagus. Cuman mau kasih saran aja. Kalau ada orang yang mau kasih gift, kasih space buat orang tersebut bisa menuliskan sebuah pesan untuk idolnya. Agar idol tersebut juga bisa membaca pesan yang disampaikan dari sang pemberi gift. Terimakasih 🙏"
Muh Aprians,5,2023-08-04 08:44:14,Saya kasih bintang 5. Saya senang karena bisa lihat idol saya Freya nashifa jayawardana JKT48. Kalo freya sudah tidak live showroom lagi terpaksa saya unistal apknya..
Dimas Andika,1,2023-08-02 12:29:03,Apk thololl verivikasi gagal terus
Dwi Dwii,4,2023-08-02 09:02:44,Kadang suka nglag kalo lagi nonton tuh
Pasti Doruli,5,2023-08-01 12:19:20,Bagus sih tapi notifikasi kadang gak keliatan
Muhammad Firdaus,4,2023-07-30 14:41:45,karena saya suka jkt
Lalang Danadyaksa,5,2023-07-29 10:48:27,Aplikasinya bagus bisa liat member JKT48
Ahmad Baihaqi,5,2023-07-27 12:24:07,Menyenangkan...mudah di gunakan..konsepnya keren
M.Andrean Minoko,4,2023-07-27 10:19:48,"FYI kalau kalian pakai kartu 3, verifikasi kemungkinan bakal gagal. Jd di sarankan pakai provider yg lain"
D.I.T organizer (Out Bound sukabumi),5,2023-07-26 13:26:28,Wow Wow Sangat bagu sekali
David Pogalan,5,2023-07-26 11:51:41,Saya suka dengan aplikasinya
Kyaru Ky,4,2023-07-25 14:22:24,Terimakasih menghadirkan amplikasi ini
28. Rahadhino Nugra P.S,5,2023-07-25 07:50:34,"Terimakasih developer, karena aplikasi ini saya bisa melihat live oshi ku"
"Ripal ,",1,2023-07-24 15:48:10,Cuih sistem login nya ampas banget udah coba beberapa kali lewat twitter sama fb mental semua pas udah mau bisa tiba tiba sinyalnya dianggep jelek padahal dipake ke apk lain normal normal aja cuih sistem login ampass paling ampas dibanding apk lain sistem login nya
Pandan Medan,5,2023-07-24 12:36:35,Aplikasih ini sangat bagus cocok buat orang gabut
Reval,5,2023-07-24 09:54:04,Nggak terlalu paham bahasa jepang jadinya bingung
Sari kasari,1,2023-07-24 06:24:38,"Masa verifikasi no malah gabisa, pengen komen di sr JKT48"
Muhammad Hamdah,2,2023-07-24 04:37:04,"Tolong benarkan sistem verifikasi supaya bisa komen dengan leluasa tanpa verifikasi error,yang benar saja dong ni aplikasi"
Macan Exe,2,2023-07-24 02:58:30,"Kenapa notif showroomnya tifak keluar, padahal udh dinyalain notifnya"
Agung Laksono,1,2023-07-24 02:52:16,Ga bisa di buka apl nya
RENO KRISNA,1,2023-07-23 12:50:47,Aplikasi yang bagus saya suka
Verda ClarestaS,5,2023-07-23 12:03:21,Bagus banget coma aku GK tau cara ganti bahasa ke bahasa Indonesia
Teguh Susilo,2,2023-07-23 11:07:34,"Agak kecewa karena gabisa coment, katanya harus verifikasi ke sms tapi malah di verifikasi malah gabisa"
Kristian Anugrah,5,2023-07-23 06:51:17,Sudah sangat baguss
Faissaeganteng 2329G,1,2023-07-22 09:47:37,"Dah lah, gw mau komen aja di per sulit, kek mana lah kartu gw yg normal aja g bisa. Pengen bet komen cuma gara gara verivikasi SMS yg kek 🐶 jadi kecewa"
Andra,1,2023-07-22 09:37:22,Nomer gua cuman 11 digit mau verif ga bisa²aneh banget. EH INGAT YA GA SEMUA ORANG NOMER HP NYA 12 DIGIT
Marvel Vanat,5,2023-07-22 06:50:26,Bagus karna ohsi ku masih ada ci shani
Wanzzy Wanzzy,5,2023-07-22 05:30:54,Aplikasi sudah bagus tolong bahasa dalam aplikasi tambahkan berbahasa Indonesia agar pengguna aplikasi ini lebih mudah memakai aplikasi ini
Suman Natanael Sinaga,5,2023-07-21 09:52:31,Aplikasi ini sangat bermanfaat
Louis Daffa,5,2023-07-20 23:04:47,Keren asik juga
Anwar Mudzaki,5,2023-07-20 07:29:56,Aplikasi bagus sekalk saya sangat Suka saya bisa Menonton live Memjkt/
Mohamad Syafiq,5,2023-07-20 04:42:15,aplikasi membantu untuk mengetahui tentang semua perkembangan sangat 👍
Naufal Satria,2,2023-07-20 04:37:08,Min tolong agar bisa verifikasi nomer kartu Tri ya min semoga cepat di proses ya min untuk kartu Tri agar bisa verivikasi
Arga Adinata,3,2023-07-19 15:00:09,"Min saya mau tanya kenapa code buat verify nya lama dapet nya, dari kemaren saya nunggu ga ada di SMS"
Siti Nurfarida,3,2023-07-19 14:07:42,knp seh padahal udah ikutin arahan lo masih gk keluar verifikasi nya di benerin lagi lah
M. Dwiki Rahmadi,3,2023-07-19 13:49:16,Tolong tambahkan bahasa indonesia nya yaaa..
Irdan Mgl,5,2023-07-19 12:32:54,Aplikasinya baguss terlebih saya suka nonton showroomnya michiiy
Enrico Nugroho,4,2023-07-17 21:21:45,"Secara fungsional bagus, namun sayang tidak ada bahasa indonesia"
Feza Zakarya,1,2023-07-17 16:34:26,"Untuk verifikasi SMS kenapa susah sekali, mohon segera di perbaiki"
Rachmania Dayu,5,2023-07-17 09:48:19,Semoga ada dalam bahasa Indonesia nya 🙏
15.Muhammad Nurus Said,5,2023-07-16 23:40:16,"Halo, semoga dibaca, yang gk bisa verif akun,biar verif caranya kalian harus login menggunakan nomer kartu SELAIN nomer kartu TRI (tidak bisa pake np kartu 3)"
ERICK,5,2023-07-16 21:13:31,Aplikasi ini keren
Satria Saputra,4,2023-07-16 15:51:47,"Udah bagus kok, cuman masalahnya kalo pake wifi malah gabisa harus pake data. Tolong dibenerin lagi"
Muhammad Ali Reza,1,2023-07-16 15:46:29,Tidak dapat verifikasi nomor telepon
Razzaq,5,2023-07-16 05:06:45,Bg kok di gw ga muncul notif ya bg?
Kata Luki,5,2023-07-15 14:52:25,Karena asik dan juga bisa berintaraksi dengan oshi sendiri walaupun lewat hp wkwkwkwk
